Country Code,Country,Pillar 1,Pillar 2,Pillar 3,Pillar 4,Pillar 5,Pillar 6,Pillar 7,Pillar 8,Pillar 9,Pillar 10,Pillar 11,Pillar 12
NAM,Namibia,4.273480395,4.137855747,4.721665845,4.589299207,3.301683098,4.197669434,4.413628668,4.181284301,3.41645596,2.816112463,3.807332804,3.24207895
NPL,Nepal,3.430333008,2.150599932,5.354069729,5.61672515,3.241199647,3.962940318,3.907768988,3.827540176,2.616500358,3.340648967,3.308695084,2.661437939
NLD,Netherlands,5.595721432,6.303315863,5.702700137,6.596283735,6.025854176,5.341161061,4.903951976,4.432583121,6.100364635,5.073238928,5.558523139,5.36532909
NZL,New Zealand,5.987977091,5.248816477,5.930052819,6.633717319,5.775142095,5.3942177,5.29010907,5.728251015,5.898056891,3.906183342,4.816272878,4.506611779
NIC,Nicaragua,3.18116348,3.180293631,4.814190777,5.282302443,3.073410342,3.768945917,3.710840259,3.342578851,2.806698164,2.951413039,3.118122493,2.423645944
NGA,Nigeria,3.188385133,2.098985283,4.612459988,2.861066563,2.754449715,4.070642893,4.545237487,3.753700105,3.034192886,5.065921612,3.654390178,2.776267719
NOR,Norway,5.84697613,5.029055459,6.829052308,6.527854513,5.846585208,5.011292912,5.123014743,5.209465648,6.135917782,4.41034551,5.335801234,4.994165414
OMN,Oman,4.734155906,4.807138581,5.988254431,5.776631143,3.901994764,4.44605721,4.056625139,4.240561084,4.178590247,3.939329914,3.871323734,3.036017813
PAK,Pakistan,3.270877374,2.70930332,3.514350229,4.000673062,2.824389987,3.945466651,3.338137591,3.470234487,2.877852088,4.961053016,3.72928417,3.142018486
PAN,Panama,3.85405371,4.722657278,4.826715202,5.53655228,4.100780525,4.591981039,4.126982842,4.911350837,4.438645337,3.541542214,4.228277326,3.591112142
PRY,Paraguay,2.953677379,2.694634808,5.070873751,4.658399153,3.21247327,4.168262388,3.784292662,3.75093383,2.966362628,3.325017446,3.338530804,2.46084526
PER,Peru,3.282214354,3.485913514,5.860976881,5.275025463,4.072509238,4.360198472,4.285237402,4.530000075,3.40292418,4.444959433,3.785651481,2.782875775
PHL,Philippines,3.775527125,3.434711732,5.7360132,5.451731444,4.48224076,4.235013976,4.094959312,4.208780151,3.910632904,4.88805265,4.264667914,3.501020218
POL,Poland,4.069036549,4.298873484,5.107367038,6.147575579,5.052512645,4.510564773,4.107078966,4.260322486,4.776889658,5.155103964,4.08737729,3.321753286
PRT,Portugal,4.386006674,5.526869644,3.572392957,6.27933619,5.185192148,4.649109779,4.271340982,3.410591689,5.535279953,4.332468003,4.270886376,4.049158176
QAT,Qatar,5.857189688,5.615319997,6.724340852,6.305700904,5.117480831,5.523665204,4.999403178,5.022816909,5.407247401,4.246705937,5.378357875,4.97761366
ROU,Romania,3.658516712,3.612124042,5.441077865,5.491929838,4.547711953,4.278576835,4.130799444,4.046965803,4.63271679,4.568815121,3.711911954,3.239713467
RUS,Russian Federation,3.460262601,4.809746259,5.286187905,5.937073264,4.964883415,4.162380933,4.404439397,3.529007317,4.219336016,5.926276242,3.786273504,3.288476665
RWA,Rwanda,5.391312921,3.237573635,4.395411847,5.394018835,3.054561758,4.570878922,5.214052496,4.537992267,3.118224987,2.525803115,3.912271131,3.574887227
SAU,Saudi Arabia,5.072389464,5.085381827,6.634632967,6.011801974,4.731900499,4.701397769,4.29869271,4.32116474,4.695312903,5.397185476,4.542627003,3.826124691
SEN,Senegal,3.992405696,3.000357275,4.21554009,3.995370466,3.250353512,4.298395775,4.190782377,3.797811145,3.146779378,3.003221789,3.953210971,3.548666831
SRB,Serbia,3.240442313,3.873857222,3.601977455,5.868895737,4.267472976,3.74390739,3.721771923,3.228507934,4.467118149,3.695774725,3.140074036,2.903133664
SYC,Seychelles,4.037970184,4.511558338,4.820966286,5.843508602,3.846930974,4.325538437,4.454151231,3.412059063,3.812120732,1.40009732,3.990959931,3.151867004
SLE,Sierra Leone,3.212144045,2.106426201,3.888811028,3.293202583,2.537773668,3.786520584,3.840737938,3.058512511,2.341853197,2.331578845,3.143776948,2.490928439
SGP,Singapore,6.005665662,6.486327076,6.211747494,6.742334609,6.196571474,5.71514219,5.714611879,5.571398744,6.195703669,4.779156565,5.134953942,5.242713208
SVK,Slovak Republic,3.425822285,4.28113456,5.213863156,6.006891008,4.615662399,4.434153146,3.903433842,4.408450453,4.641723988,4.027445747,4.067942432,3.294761712
SVN,Slovenia,3.934455138,4.793184751,4.44820236,6.438326575,5.406949019,4.503161621,3.998721092,2.849234051,5.135824088,3.389770293,4.152071217,3.826145627
