Observation,Team,Games,Minutes Played,FG%,Average Distance of FGA,2 Point FGA %,0-3 feet FGA %,3-10 feet FGA %,10-16 feet FGA %,16 feet and away FGA %,3point FGA %,2 Point FG %,0-3 feet FG %,3-10 feet FG %,10-16 feet FG %,16 feet and away FG %,3point FG %,% of 2point field goals assisted,%FG Dunk Attempts,Number of Throwdowns,% of 3point field goals assisted,3Point Attempts %  from Corner,3P%,Beyond Half Court,Beyond Half Court made
192,Milwaukee Bucks,82,19855,0.465,11.4,0.781,0.36,0.124,0.113,0.183,0.219,0.495,0.6,0.43,0.419,0.381,0.356,0.512,0.04,244,0.844,0.26,0.376,5,0
193,Minnesota Timberwolves,82,20005,0.461,12.8,0.833,0.267,0.127,0.133,0.305,0.167,0.483,0.608,0.426,0.432,0.419,0.353,0.576,0.037,214,0.896,0.259,0.369,24,1
194,New Jersey Nets*,82,19880,0.457,12.8,0.737,0.332,0.089,0.077,0.24,0.263,0.49,0.585,0.422,0.396,0.413,0.363,0.609,0.06,347,0.916,0.273,0.393,11,0
195,New Orleans/Oklahoma City Hornets,82,19880,0.445,11.5,0.812,0.307,0.17,0.119,0.216,0.188,0.464,0.602,0.404,0.344,0.382,0.362,0.456,0.049,285,0.855,0.217,0.388,8,0
196,New York Knicks,82,20005,0.457,10.8,0.784,0.389,0.142,0.073,0.18,0.216,0.487,0.6,0.411,0.328,0.368,0.346,0.475,0.051,302,0.797,0.261,0.364,17,0
197,Orlando Magic*,82,19780,0.472,10.8,0.842,0.361,0.15,0.106,0.225,0.158,0.494,0.631,0.415,0.36,0.391,0.356,0.483,0.078,436,0.883,0.291,0.382,6,0
198,Philadelphia 76ers,82,19880,0.458,11.4,0.872,0.321,0.117,0.171,0.262,0.128,0.474,0.616,0.381,0.373,0.408,0.345,0.535,0.069,407,0.887,0.213,0.394,16,0
199,Phoenix Suns*,82,19905,0.494,13.1,0.713,0.31,0.104,0.097,0.202,0.287,0.532,0.671,0.455,0.433,0.407,0.399,0.557,0.063,389,0.856,0.315,0.448,15,0
200,Portland Trail Blazers,82,19955,0.45,12.2,0.807,0.288,0.162,0.105,0.253,0.193,0.474,0.589,0.441,0.38,0.405,0.346,0.464,0.033,185,0.885,0.363,0.396,23,0
201,Sacramento Kings,82,19805,0.45,12.7,0.768,0.294,0.142,0.077,0.255,0.232,0.48,0.6,0.418,0.38,0.408,0.35,0.502,0.035,206,0.858,0.194,0.357,4,0
202,San Antonio Spurs*,82,19780,0.474,12.7,0.753,0.288,0.155,0.107,0.204,0.247,0.504,0.653,0.444,0.406,0.392,0.381,0.523,0.025,128,0.934,0.384,0.406,9,0
203,Seattle SuperSonics,82,19830,0.46,11.8,0.781,0.291,0.183,0.137,0.17,0.219,0.487,0.625,0.421,0.391,0.401,0.362,0.503,0.061,359,0.811,0.235,0.349,14,0
204,Toronto Raptors*,82,19755,0.463,13.2,0.776,0.277,0.109,0.117,0.273,0.224,0.492,0.619,0.429,0.379,0.437,0.363,0.536,0.04,229,0.906,0.329,0.427,13,1
205,Utah Jazz*,82,19805,0.474,11.4,0.837,0.359,0.107,0.113,0.257,0.163,0.501,0.621,0.371,0.401,0.432,0.335,0.632,0.039,239,0.867,0.159,0.298,13,0
206,Washington Wizards*,82,19830,0.45,13.2,0.763,0.294,0.121,0.079,0.269,0.237,0.482,0.626,0.386,0.355,0.405,0.348,0.487,0.041,268,0.781,0.208,0.352,8,1
207,Atlanta Hawks,82,19880,0.444,11.7,0.837,0.356,0.097,0.09,0.294,0.163,0.467,0.572,0.385,0.398,0.387,0.329,0.518,0.047,273,0.833,0.253,0.373,8,0
208,Boston Celtics,82,19855,0.443,12,0.801,0.317,0.152,0.102,0.23,0.199,0.462,0.585,0.379,0.368,0.388,0.367,0.499,0.032,189,0.93,0.271,0.414,12,0
209,Charlotte Bobcats,82,20005,0.446,11.8,0.807,0.335,0.129,0.095,0.249,0.193,0.467,0.574,0.381,0.352,0.41,0.357,0.565,0.04,251,0.921,0.352,0.384,14,1
210,Chicago Bulls*,82,19780,0.457,12.7,0.814,0.302,0.1,0.118,0.295,0.186,0.473,0.567,0.386,0.407,0.432,0.388,0.562,0.041,259,0.81,0.223,0.42,11,0
