AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS
28,39,14,25,0.359,3.1,0.5,1.1,0.476,0,0,0,0.6,0.9,0.706,0.4,0.5,0.8,0.2,0.3,0.1,0.3,0,0.5,0.5,1.6,0.1,3.8
20,1,1,0,1,1.5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
23,3,1,2,0.333,1.1,0,0,0,0,0,0,0.7,0.7,1,0,0.3,0.3,0.3,0,0.3,0,0,0.3,0.3,0.7,0.3,2.6
32,4,3,1,0.75,2.9,0.5,0.8,0.667,0.3,0.5,0.5,0,0,0,0,0.5,0.5,0,0,0,0,0,0.3,0,1.3,0.5,1.9
24,40,21,19,0.525,3.4,0.8,1.9,0.434,0.2,0.5,0.35,0.7,0.8,0.871,0.1,0.2,0.3,0.3,0,0.2,0.1,0.1,0.2,0.5,2.5,-0.1,3.9
29,25,10,15,0.4,1.8,0.2,0.6,0.267,0.1,0.5,0.167,0.2,0.2,0.833,0.1,0.2,0.2,0.1,0,0,0,0,0.2,0.2,0.6,0.5,1.2
25,2,1,1,0.5,1,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0,2.5,1.5
25,1,0,1,0,1.3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3,2
21,4,3,1,0.75,2.9,0.3,1.5,0.167,0,0.8,0,0,0,0,0.3,0,0.3,0.3,0.3,0,0,0,0.8,0,0.5,-1.5,0.9
32,4,2,2,0.5,2.5,0.8,1,0.75,0,0,0,0.5,0.5,1,0.3,0.3,0.5,0,0,0,0,0,0.3,0.3,2,0.5,2.6
32,31,13,18,0.419,3.8,0.8,2.2,0.362,0.2,0.7,0.273,1,1.1,0.886,0.1,0.7,0.9,0.4,0.4,0.1,0,0.2,0.4,0.8,2.8,-0.4,4.4
36,2,1,1,0.5,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0
27,23,11,12,0.478,5,0.7,1.3,0.552,0.3,0.7,0.4,0.1,0.2,0.6,0.2,0.9,1,0.6,0.2,0.1,0.1,0,0.2,0.2,1.8,0.7,4.4
33,7,3,4,0.429,1.8,0.1,0.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.1,0,0.3,-0.3,0.7
31,15,6,9,0.4,0.9,0.1,0.5,0.143,0,0.3,0,0,0,0,0.1,0.1,0.2,0,0,0,0,0,0.2,0,0.1,-1.1,0.4
28,18,6,12,0.333,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0.3,0
37,6,3,3,0.5,1.4,0.2,0.2,1,0,0,0,0.7,0.8,0.8,0,0.8,0.8,0,0,0,0.2,0,0,0.7,1,0.8,2.5
32,27,18,9,0.667,3.5,0.6,1.7,0.326,0.1,0.6,0.25,0.4,0.6,0.75,0.1,0.5,0.6,0.1,0.1,0.1,0.1,0,0.3,0.4,1.7,1.7,3.3
32,1,0,1,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,18,6,12,0.333,1.1,0,0.2,0,0,0.2,0,0,0,0,0.1,0.2,0.3,0,0,0,0.1,0,0.4,0,0,-2.8,0.6
31,35,22,13,0.629,3.9,0.9,1.9,0.462,0.2,0.5,0.444,0.8,1,0.829,0,0.3,0.3,1,0.3,0.2,0,0.1,0.6,0.7,2.8,0.6,4.9
20,1,0,1,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,0
25,2,0,2,0,2.6,0,0.5,0,0,0,0,0,0,0,0,0.5,0.5,0,0.5,0,0,0,0.5,0.5,0,-2,0.1
22,21,12,9,0.571,1.5,0.1,0.2,0.75,0,0,0,0.1,0.4,0.375,0,0.2,0.2,0,0,0,0.2,0,0.2,0.2,0.4,-0.2,1.2
23,35,17,18,0.486,2.7,0.3,0.3,0.75,0,0,0,0.3,0.4,0.733,0.3,0.3,0.6,0,0,0,0.1,0,0.4,0.3,0.8,0.8,1.9
27,3,1,2,0.333,5.4,1.7,2,0.833,0,0,0,0,0,0,0.3,2,2.3,0.3,0.7,0.7,1,0,1,0.3,3.3,-1.7,11
30,32,19,13,0.594,2.3,0.3,0.6,0.4,0.1,0.3,0.364,0.2,0.4,0.583,0.1,0.2,0.3,0.1,0,0.1,0,0,0.3,0.3,0.8,0.8,1.5
25,2,1,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
24,44,25,19,0.568,2.8,0.2,0.5,0.455,0.1,0.2,0.5,0.1,0.2,0.571,0,0.1,0.2,0.2,0.1,0.1,0,0,0.3,0.2,0.6,0.5,1.4
30,29,20,9,0.69,2.7,0.2,0.6,0.313,0,0.2,0.143,0.2,0.3,0.7,0.1,0.2,0.3,0.2,0,0.2,0,0,0.2,0.2,0.6,0.4,1.8
23,1,1,0,1,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-3,0
20,20,5,15,0.25,2.8,0.5,1.1,0.476,0.3,0.4,0.625,0.3,0.4,0.75,0.1,0.4,0.5,0.2,0.2,0,0,0,0.3,0.2,1.6,-0.9,2.2
28,13,6,7,0.462,3.6,0.6,1.1,0.571,0.5,0.8,0.6,0.2,0.2,1,0,0.2,0.2,0.3,0.2,0.2,0,0.1,0.5,0.3,1.9,0.9,2.9
35,1,0,1,0,5,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,2,0,0,1,2.7
