id,race,region,sex,degree,sibs,wrkstat,childs,hompop,earnrs,adults,educ,marital,happy,income,age,sei,maeduc,pasei,agekdbrn,paeduc,hapunhap,trust
329,2,1,2,1,2,2,3,3,2,2,15,1,2,12,48,50.7,10,-1,27,97,1,2
330,1,1,2,3,6,5,1,2,1,2,16,1,2,98,71,33.1,4,37.3,35,4,1,1
331,3,1,2,1,4,6,0,5,5,5,12,5,2,98,19,-1,97,31.5,0,11,1,2
332,1,1,2,1,5,1,2,1,1,1,13,5,1,12,30,36.9,1,-1,22,97,1,2
334,3,1,2,0,7,3,7,1,1,1,6,2,2,12,62,28.4,97,28.6,17,98,1,2
335,3,1,2,0,12,7,4,4,1,2,4,4,2,9,43,50.7,0,35.1,17,0,2,2
339,1,4,2,1,3,2,3,1,1,1,12,2,2,12,78,42.3,6,50.7,21,12,2,2
340,1,4,2,1,1,5,1,1,0,1,12,2,2,3,89,32.4,12,29.4,21,9,1,1
342,1,4,2,4,2,1,0,1,1,1,18,3,2,12,52,73.8,16,80.3,0,17,0,0
343,2,4,2,1,5,2,4,6,2,2,14,1,1,12,40,31.2,6,27.7,23,8,0,0
345,2,4,2,0,18,7,3,1,1,1,11,3,3,9,61,60.5,5,37.3,18,4,3,2
346,2,4,2,1,17,1,0,3,2,3,14,5,3,98,25,50.5,98,-1,0,97,0,0
347,2,4,2,0,4,1,1,2,1,1,10,4,3,11,44,31.2,0,-1,26,97,0,0
351,1,4,2,2,4,7,2,2,2,2,14,1,1,12,45,60.6,16,49.6,20,16,1,2
352,2,4,2,1,4,1,1,4,4,3,13,1,3,12,52,43.7,0,37.3,36,0,2,2
356,3,4,2,0,2,5,3,3,1,3,3,1,3,98,72,29.6,0,-1,27,97,2,2
357,2,4,2,1,8,1,1,4,2,2,12,5,2,12,28,27.5,98,-1,23,97,0,0
358,3,4,2,0,3,1,3,3,1,1,11,5,3,8,25,29,12,32.8,15,10,0,0
361,2,4,2,1,7,1,2,2,2,2,15,1,2,12,60,38.4,12,38.5,21,12,0,0
363,2,4,2,2,7,1,0,2,2,2,14,1,1,12,47,74.4,13,75.2,0,13,0,0
364,1,4,2,0,14,4,3,5,1,2,8,1,3,98,34,37.3,0,37.3,19,0,1,2
365,2,4,2,1,2,1,1,3,2,2,12,4,2,12,31,63.5,98,59.3,22,98,0,0
366,3,4,2,1,3,1,2,4,2,2,12,1,2,12,38,37.7,16,-1,23,97,0,0
369,1,4,2,1,3,7,3,2,1,2,12,2,2,6,77,29.8,12,26.7,22,12,2,1
370,1,4,2,1,0,1,1,3,3,2,14,3,2,12,45,36.5,6,62.5,27,13,1,2
371,3,4,2,2,3,2,2,3,1,1,16,5,2,11,31,80.9,16,-1,21,97,2,2
373,3,4,2,1,4,1,1,3,2,2,15,1,3,12,38,63.2,12,64.1,31,12,2,2
374,2,2,2,1,3,1,1,2,1,1,14,5,2,13,24,29.3,12,25.3,18,12,2,2
376,2,2,2,1,8,6,2,1,1,1,13,1,1,7,40,28.4,98,-1,16,98,1,2
379,2,2,2,0,1,1,9,1,1,1,99,5,1,13,30,39.4,99,-1,99,99,0,0
381,2,2,2,4,4,1,3,4,2,4,20,1,1,13,49,69.2,16,86.6,30,13,0,0
382,1,2,2,1,1,7,4,6,1,2,12,1,1,12,32,38,12,63.5,18,12,1,2
383,3,2,2,4,7,1,2,3,1,1,18,3,2,13,37,65.8,12,86,27,16,2,1
387,1,2,2,1,3,1,0,4,3,3,14,5,2,13,19,32.4,12,37.9,0,12,2,3
390,1,2,2,3,1,1,2,1,1,1,17,3,2,12,63,37.7,16,76.4,33,12,2,1
392,1,2,2,1,4,5,2,1,1,1,15,2,2,12,74,38,12,48.5,23,12,2,2
393,2,2,2,1,7,8,2,1,0,1,13,2,1,8,89,26.4,12,85.1,26,12,0,0
394,2,2,2,0,5,7,1,2,1,1,11,5,1,2,20,-1,6,38.4,17,13,0,0
395,2,2,2,1,6,1,1,3,2,2,12,1,1,12,28,27.5,14,28.2,18,98,0,0
396,1,2,2,1,5,5,3,1,0,1,12,2,2,8,84,29.4,8,36.5,27,8,1,2
398,1,2,2,1,1,1,0,2,2,2,15,5,2,12,25,63.5,13,-1,0,97,2,1
399,2,2,2,1,3,4,3,3,1,1,13,5,2,13,25,26.4,12,28.4,21,98,2,2
400,1,2,2,1,7,7,1,3,0,3,11,1,1,98,53,30.8,10,48.5,19,11,1,2
406,1,6,2,3,4,7,3,4,4,4,16,1,1,12,44,78.5,16,31.5,22,12,1,1
407,1,6,2,1,4,1,3,4,2,2,12,3,1,11,41,30.8,12,-1,17,12,0,0
413,1,6,2,4,3,3,2,2,2,2,18,1,2,12,49,78.5,16,80.9,22,20,0,0
414,2,6,2,0,0,7,5,7,2,2,11,1,2,12,33,53.7,97,-1,16,97,2,2
415,1,6,2,2,2,1,0,2,2,2,14,1,1,10,24,37.7,13,73.3,0,13,1,2
417,1,6,2,4,2,1,3,1,1,1,15,3,1,12,56,87,12,34.2,18,12,1,1
423,1,6,2,1,2,7,0,2,2,2,12,5,2,12,20,32.4,17,48.6,0,10,2,2
425,1,6,2,0,9,7,1,2,1,2,8,1,2,11,89,37.6,0,37.3,30,0,2,2
427,3,6,2,0,4,7,4,2,1,2,10,3,2,12,43,29.3,12,31.5,17,8,2,2
429,2,6,2,1,7,1,2,2,2,2,12,3,2,12,62,68.1,10,34.7,20,10,2,2
434,2,4,2,0,1,4,0,1,0,1,11,5,3,1,36,28.4,98,-1,0,97,0,0
435,2,4,2,0,3,7,1,2,2,1,6,5,3,10,31,-1,98,-1,17,97,3,3
442,3,4,2,4,0,6,0,2,2,2,20,1,1,13,31,-1,12,27.7,0,12,0,0
443,1,4,2,3,1,5,1,1,0,1,16,3,9,13,68,78.5,13,-1,37,16,3,1
444,1,4,2,4,2,1,3,2,1,2,18,3,1,12,57,69.7,15,-1,31,16,0,0
445,1,4,2,3,5,3,4,2,2,2,16,1,1,12,62,63.5,13,86,25,16,1,1
446,1,4,2,4,1,1,2,1,1,1,19,2,2,12,80,75.9,16,-1,23,97,2,1
448,1,4,2,0,16,1,3,7,1,3,7,4,3,9,46,33.6,7,-1,25,97,0,0
